 #Elements L1MissRate L2MissRate L3MissRate
       100       0.01       1.81       0.00
       200       0.01       1.86       0.00
       400       0.05       0.17       0.00
       600      48.56       0.00       0.00
       800      47.79       0.00       0.00
      1000      47.97       0.00       2.54
      2000      47.79       0.00       0.00
      4000      48.43       0.00       5.00
      6000      48.57       0.00       0.00
      8000      48.20       0.06       1.78
     10000      48.14       0.19       0.22
     20000      48.09      58.14       0.00
     40000      47.85     100.00       0.00
     60000      48.61     100.00       0.04
     80000      47.61     100.00       0.12
    100000      47.74     100.00       0.33
    200000      46.97     100.00      11.59
    400000      46.02      99.99      53.47
    600000      45.56      99.99      68.89
    800000      45.19      99.99      79.89
   1000000      45.55      99.99      81.30
