 #Elements L1MissRate L2MissRate L3MissRate
       100       0.00       7.48       6.25
       200       0.00       5.68       5.00
       400       0.00       2.85       5.26
       600       0.01       2.71       0.00
       800       0.01       0.62       0.00
      1000       0.02       0.61       0.00
      2000       0.08       0.09       0.00
      4000      12.33       0.00       0.00
      6000      12.15       0.00       0.00
      8000      12.27       0.00       0.00
     10000      12.22       0.00       0.00
     20000      12.28       0.04       0.00
     40000      11.87       0.67       0.58
     60000      11.98      16.43       0.00
     80000      12.12      62.01       0.00
    100000      12.07      87.70       0.00
    200000      12.09     100.00       0.09
    400000      12.15     100.00       0.75
    600000      11.98     100.00       5.15
    800000      12.14     100.00      15.10
   1000000      12.16     100.00      28.69
