 #Elements L1MissRate L2MissRate L3MissRate
       100       0.00       5.19       0.00
       200       0.01       0.81       0.00
       400       0.06       0.10       0.00
       600       9.64       0.00       0.00
       800       9.48       0.00      10.00
      1000       9.23       0.00       0.00
      2000       9.32       0.00       0.00
      4000       9.88       0.00       0.00
      6000       9.19       0.00       0.00
      8000       9.38       0.31       1.57
     10000       9.64       3.79       0.01
     20000       9.73      60.09       0.00
     40000       9.77      99.98       0.00
     60000       9.58      99.99       0.39
     80000       9.72      99.99       0.98
    100000       9.52     100.00       1.83
    200000       9.01      99.99      18.22
    400000       9.64      99.99      54.78
    600000       9.61      99.99      68.75
    800000      10.00      99.99      80.32
   1000000       9.58      99.99      82.92
