 #Elements L1MissRate L2MissRate L3MissRate
       100       0.00      13.04       0.00
       200       0.00       6.92       0.00
       400       0.00       7.00       0.00
       600       0.00       3.48       0.00
       800       0.01       0.00       0.00
      1000       0.02       0.64       0.00
      2000       0.24       0.07       0.00
      4000      28.24       0.00       0.00
      6000      36.17       0.00       1.89
      8000      39.09       0.00       0.00
     10000      41.62       0.00       0.00
     20000      45.06       0.00       7.69
     40000      47.00       0.86       0.01
     60000      47.76      13.52       0.00
     80000      47.97      29.82       0.00
    100000      47.99      47.10       0.00
    200000      48.24      75.88       0.00
    400000      48.48      88.25       0.05
    600000      48.39      92.37       3.24
    800000      48.00      94.34      11.57
   1000000      47.68      95.52      25.28
