 #Elements  array.bin array_nodata.bin array_optimized.bin linked-list.bin linked-list_nodata.bin linked-list_optimized.bin 
       200       1.12       1.12       1.11       1.11       1.12       1.11 
       400       1.12       1.12       1.11       1.12       1.12       1.11 
       600       0.52       1.12       1.11       0.43       1.12       1.11 
       800       0.43       1.13       1.11       0.43       1.12       1.11 
      1000       0.43       1.13       1.11       0.43       1.13       1.11 
      2000       0.43       1.13       1.11       0.43       1.12       1.11 
      4000       0.43       0.92       1.11       0.42       0.61       1.11 
      6000       0.43       0.92       1.11       0.35       0.53       1.11 
      8000       0.43       0.92       1.11       0.32       0.50       1.13 
     10000       0.43       0.92       1.09       0.31       0.48       1.08 
     20000       0.14       0.92       0.61       0.12       0.40       0.49 
     40000       0.11       0.91       0.46       0.09       0.27       0.37 
     60000       0.11       0.66       0.46       0.09       0.26       0.36 
     80000       0.11       0.44       0.43       0.09       0.18       0.37 
    100000       0.10       0.35       0.42       0.09       0.15       0.36 
    200000       0.08       0.34       0.27       0.06       0.11       0.23 
    400000       0.04       0.32       0.15       0.04       0.10       0.14 
    600000       0.03       0.29       0.13       0.03       0.08       0.12 
    800000       0.03       0.24       0.11       0.03       0.07       0.11 
   1000000       0.03       0.19       0.12       0.03       0.05       0.11 
   2000000       0.03       0.12       0.10       0.02       0.03       0.09 
   4000000       0.02       0.11       0.10       0.02       0.03       0.09 
   6000000       0.03       0.10       0.10       0.02       0.02       0.08 
   8000000       0.03       0.10       0.10       0.02       0.02       0.05 
  10000000       0.02       0.10       0.10       0.02       0.02       0.08 
