 #Elements       frontend_bound             retiring        backend_bound      bad_speculation 
       100                 2.20                17.80                76.10                 3.80 
       200                 1.50                18.20                78.00                 2.30 
       400                 1.10                18.30                78.60                 2.00 
       600                 0.50                 5.60                93.60                 0.30 
       800                 0.50                 5.60                93.70                 0.20 
      1000                 0.50                 5.60                93.60                 0.30 
      2000                 0.40                 5.60                93.90                 0.10 
      4000                 0.30                 4.80                94.80                 0.10 
      6000                 0.40                 4.80                94.70                 0.10 
      8000                 0.40                 4.80                94.70                 0.10 
     10000                 0.30                 4.30                95.30                 0.10 
     20000                 0.30                 1.90                97.80                 0.00 
     40000                 0.30                 1.30                98.40                 0.00 
     60000                 0.30                 1.30                98.40                 0.00 
     80000                 0.30                 1.30                98.40                 0.00 
    100000                 0.30                 1.30                98.40                 0.00 
    200000                 0.30                 1.00                98.60                 0.00 
    400000                 0.20                 0.50                99.20                 0.00 
    600000                 0.20                 0.50                99.20                 0.00 
    800000                 0.20                 0.50                99.30                 0.00 
   1000000                 0.20                 0.50                99.30                 0.00 
