 #Elements       frontend_bound             retiring        backend_bound      bad_speculation 
       100                 5.40                17.80                73.60                 3.20 
       200                 3.20                18.00                77.00                 1.80 
       400                 1.80                18.20                78.70                 1.30 
       600                 1.40                18.60                78.00                 1.90 
       800                 1.20                18.50                79.30                 1.10 
      1000                 1.10                18.40                78.90                 1.60 
      2000                 0.70                18.10                79.90                 1.30 
      4000                 0.50                10.10                89.00                 0.40 
      6000                 0.50                10.00                89.50                 0.10 
      8000                 0.40                10.10                89.10                 0.30 
     10000                 0.40                 9.90                89.70                 0.00 
     20000                 0.40                10.10                89.10                 0.30 
     40000                 0.50                10.10                89.10                 0.30 
     60000                 0.40                 7.00                92.60                 0.00 
     80000                 0.40                 5.70                93.80                 0.10 
    100000                 0.40                 4.60                94.90                 0.10 
    200000                 0.40                 4.20                95.40                 0.10 
    400000                 0.40                 7.60                89.10                 2.90 
    600000                 0.30                 3.80                95.80                 0.10 
    800000                 0.40                 2.90                96.70                 0.10 
   1000000                 0.30                 2.50                97.10                 0.00 
