 #Elements       frontend_bound             retiring        backend_bound      bad_speculation 
       200                 0.80                22.80                75.20                 1.20 
       400                 0.60                22.90                75.50                 0.90 
       600                 0.60                23.00                75.40                 1.00 
       800                 0.60                22.90                75.60                 1.00 
      1000                 0.60                22.80                75.60                 1.00 
      2000                 0.40                21.90                77.70                 0.10 
      4000                 0.30                21.90                77.70                 0.10 
      6000                 0.50                22.80                75.70                 1.00 
      8000                 0.40                21.80                77.90                -0.10 
     10000                 0.50                22.70                76.00                 0.80 
     20000                 0.50                12.50                86.90                 0.10 
     40000                 0.40                 9.60                90.00                 0.00 
     60000                 0.30                 8.80                90.90                 0.00 
     80000                 0.40                 9.00                90.50                 0.10 
    100000                 0.40                 8.40                91.10                 0.10 
    200000                 0.30                 5.40                94.30                 0.10 
    400000                 0.30                 3.20                96.50                -0.10 
    600000                 0.20                 1.40                98.30                 0.00 
    800000                 0.30                 2.40                97.30                 0.00 
   1000000                 0.30                 2.30                97.40                 0.00 
   2000000                 0.20                 2.20                97.50                -0.00 
   4000000                 0.20                 2.20                97.60                 0.00 
   6000000                 0.20                 2.10                97.70                 0.00 
   8000000                 0.20                 2.10                97.70                 0.00 
  10000000                 0.20                 2.00                97.70                 0.00 
