 #Elements       frontend_bound             retiring        backend_bound      bad_speculation 
       100                 2.50                18.40                74.30                 4.80 
       200                 1.70                19.30                76.20                 2.90 
       400                 1.20                19.50                77.40                 1.90 
       600                 0.40                 6.20                93.00                 0.30 
       800                 0.40                 4.70                94.70                 0.20 
      1000                 0.40                 5.10                94.30                 0.10 
      2000                 0.40                 4.70                94.80                 0.10 
      4000                 0.30                 4.70                94.80                 0.10 
      6000                 0.30                 4.00                95.60                 0.10 
      8000                 0.30                 3.80                95.90                 0.10 
     10000                 0.30                 3.60                96.10                 0.10 
     20000                 0.30                 1.50                98.20                 0.00 
     40000                 0.30                 1.20                98.50                 0.00 
     60000                 0.30                 1.10                98.50                 0.00 
     80000                 0.30                 1.20                98.50                 0.00 
    100000                 0.30                 1.10                98.50                 0.10 
    200000                 0.30                 0.90                98.80                 0.00 
    400000                 0.20                 0.50                99.30                 0.00 
    600000                 0.20                 0.50                99.30                 0.00 
    800000                 0.20                 0.40                99.30                 0.00 
   1000000                 0.20                 0.40                99.30                 0.00 
