 #Elements       frontend_bound             retiring        backend_bound      bad_speculation 
       200                 1.80                22.90                75.10                 0.20 
       400                 1.00                23.20                75.50                 0.30 
       600                 0.90                23.30                75.50                 0.30 
       800                 0.60                23.40                75.80                 0.20 
      1000                 0.80                23.50                76.00                -0.30 
      2000                 0.60                24.20                75.10                 0.10 
      4000                 0.30                12.80                86.70                 0.20 
      6000                 0.30                11.20                88.40                 0.10 
      8000                 0.30                10.50                89.10                 0.10 
     10000                 0.30                10.20                89.30                 0.20 
     20000                 0.30                 8.40                91.30                 0.10 
     40000                 0.30                 6.70                93.00                 0.10 
     60000                 0.30                 5.10                94.50                 0.10 
     80000                 0.30                 3.80                95.80                 0.10 
    100000                 0.30                 3.20                96.50                 0.00 
    200000                 0.30                 2.40                97.30                 0.00 
    400000                 0.30                 2.10                97.60                 0.00 
    600000                 0.30                 1.80                97.90                 0.00 
    800000                 0.30                 1.40                98.30                 0.00 
   1000000                 0.30                 1.20                98.50                 0.00 
   2000000                 0.20                 0.70                99.00                 0.00 
   4000000                 0.20                 0.70                99.10                 0.00 
   6000000                 0.20                 0.60                99.20                 0.00 
   8000000                 0.20                 0.60                99.20                -0.00 
  10000000                 0.20                 0.60                99.10                 0.00 
