 #Elements       frontend_bound             retiring        backend_bound      bad_speculation 
       200                 0.60                21.80                77.70                -0.10 
       400                 0.30                21.90                77.60                 0.10 
       600                 0.50                21.90                77.70                -0.20 
       800                 0.80                22.50                76.90                -0.20 
      1000                 0.60                21.90                77.80                -0.20 
      2000                 0.60                22.20                77.40                -0.20 
      4000                 0.40                21.60                78.30                -0.30 
      6000                 0.50                22.50                77.30                -0.20 
      8000                 0.50                22.40                77.40                -0.30 
     10000                 0.40                22.40                77.50                -0.30 
     20000                 0.40                10.30                89.20                 0.10 
     40000                 0.30                 7.30                92.40                 0.00 
     60000                 0.40                 7.50                92.10                 0.10 
     80000                 0.40                 7.30                92.20                 0.10 
    100000                 0.30                 7.20                92.50                 0.00 
    200000                 0.30                 4.80                94.90                -0.00 
    400000                 0.30                 2.90                96.80                 0.10 
    600000                 0.20                 2.40                97.30                 0.00 
    800000                 0.20                 2.30                97.50                 0.00 
   1000000                 0.20                 2.20                97.50                 0.00 
   2000000                 0.20                 2.00                97.80                 0.00 
   4000000                 0.20                 1.80                97.90                 0.00 
   6000000                 0.20                 1.70                98.00                 0.00 
   8000000                 0.20                 1.70                98.00                 0.00 
  10000000                 0.20                 1.70                98.10                 0.00 
